time,left wrist x,left wrist y
1674809879646,404.15207,166.35175
1674809879671,405.06436,155.05043
1674809879718,403.3798,141.20485
1674809879783,402.21182,128.16327
1674809879819,398.9483,115.62883
1674809879863,394.15524,104.48599
1674809879911,388.00266,94.00064
1674809879964,382.78595,81.040115
1674809879989,378.70685,69.12627
1674809880026,375.31012,59.324684
1674809880069,366.8974,52.289524
1674809880102,358.47327,44.35795
1674809880134,353.56555,37.319183
1674809880158,344.32556,35.67463
1674809880224,336.15167,33.295612
1674809880268,328.1849,28.735466
1674809880296,316.4039,18.256168
1674809880348,312.5246,24.710712
1674809880390,298.26166,22.841835
1674809880430,289.13385,20.620136
1674809880468,281.92578,20.902596
1674809880496,276.08905,20.400658
1674809880531,270.36267,16.684551
1674809880583,269.5886,18.134003
1674809880607,268.7002,18.248158
1674809880655,270.88098,18.901825
1674809880699,274.0075,20.392551
1674809880743,281.315,21.966476
1674809880777,290.6044,24.684277
1674809880810,305.2933,27.502365
1674809880868,315.32233,27.104092
1674809880900,326.48416,32.930965
1674809880926,340.835,38.26723
1674809880982,347.89798,41.960564
1674809881014,356.8966,47.541065
1674809881062,365.44583,50.20361
1674809881089,374.13477,56.4089
1674809881142,382.56238,60.197067
1674809881175,386.93665,75.461655
1674809881237,392.15497,81.318054
1674809881276,398.26468,94.910774
1674809881329,401.45248,105.68901
1674809881375,406.3653,114.36798
1674809881403,411.89316,127.21115
1674809881442,413.07776,140.80818
1674809881475,417.86847,152.49892
1674809881516,416.52414,167.68146
1674809881558,416.66193,180.30159
1674809881590,416.4192,191.50703
1674809881629,416.00476,204.33357
1674809881662,412.8281,212.42343
1674809881722,408.7668,221.66486
1674809881761,403.9041,232.15317
1674809881791,398.47333,240.32494
1674809881826,397.98856,251.06662
1674809881883,393.0161,258.9591
1674809881929,383.61453,267.12976
1674809881956,379.58817,275.20023
1674809881989,373.4321,282.3949
1674809882030,364.08017,289.8657
1674809882085,356.43674,296.10028
1674809882119,349.82037,304.07022
1674809882152,341.91165,308.13287
1674809882207,333.67975,313.45654
1674809882246,327.08157,315.23297
1674809882280,322.5631,319.4919
1674809882319,315.95126,322.19968
1674809882353,311.18158,325.2514
1674809882407,305.29822,327.00665
1674809882437,301.12802,326.72653
1674809882474,296.74783,330.1173
1674809882519,295.4234,329.0364
1674809882559,292.87927,328.1993
1674809882583,292.22763,327.248
1674809882643,293.2937,326.99182
1674809882670,293.68607,326.28586
1674809882719,294.93863,327.17676
1674809882751,297.8188,325.5525
1674809882810,298.2328,325.9944
1674809882844,299.4345,327.07126
1674809882879,299.6353,326.74106
1674809882920,300.28015,327.45914
1674809882961,299.94006,327.19037
1674809882998,299.83765,328.22882
1674809883044,299.36618,328.33698
1674809883091,299.48065,327.73727
1674809883130,298.71484,326.91473
1674809883165,297.69568,327.43842
1674809883189,296.68512,327.4249
1674809883256,296.89487,327.78827
1674809883293,297.26447,328.6629
1674809883326,297.04532,328.25375
1674809883370,296.47934,327.63037
1674809883401,296.549,328.58032
1674809883449,296.69055,328.4711
1674809883483,296.83594,328.90845
1674809883535,297.17984,328.6364
1674809883562,297.16095,328.40683
1674809883613,297.38193,328.70428
1674809883656,297.6741,328.20663
1674809883716,297.65784,328.68118
1674809883751,297.37982,328.85074
1674809883808,297.0715,328.92657
1674809883832,297.2485,328.38745
1674809883876,296.7476,328.8667
1674809883907,297.0851,329.21533
1674809883945,297.01556,329.0869
1674809883986,296.88477,328.72327
1674809884044,296.84393,328.83618
1674809884068,297.2592,328.78845
1674809884099,297.1758,328.08292
1674809884152,296.65152,327.71115
1674809884268,296.4534,327.88196
1674809884332,292.53146,323.53848
1674809884472,292.14288,323.03616
1674809884830,291.62375,321.43604
1674809885181,290.92816,324.71564
